Date,HomePriceIndex
2009-06-01,149.796
2009-07-01,150.748
2009-08-01,150.668
2009-09-01,149.628
2009-10-01,148.585
2009-11-01,147.94
2009-12-01,146.666
2010-01-01,145.003
2010-02-01,143.054
2010-03-01,143.596
2010-04-01,145.40200000000002
2010-05-01,147.037
2010-06-01,147.703
2010-07-01,147.563
2010-08-01,146.42700000000002
2010-09-01,144.608
2010-10-01,143.128
2010-11-01,141.816
2010-12-01,140.625
2011-01-01,139.032
2011-02-01,137.727
2011-03-01,137.781
2011-04-01,139.156
2011-05-01,140.692
2011-06-01,141.944
2011-07-01,142.342
2011-08-01,141.784
2011-09-01,140.165
2011-10-01,138.405
2011-11-01,136.66
2011-12-01,135.162
2012-01-01,134.162
2012-02-01,133.991
2012-03-01,135.859
2012-04-01,138.466
2012-05-01,141.043
2012-06-01,143.166
2012-07-01,144.281
2012-08-01,144.704
2012-09-01,144.355
2012-10-01,143.96200000000002
2012-11-01,143.953
2012-12-01,143.86
2013-01-01,144.305
2013-02-01,145.157
2013-03-01,147.957
2013-04-01,150.967
2013-05-01,153.857
2013-06-01,156.423
2013-07-01,158.281
2013-08-01,159.388
2013-09-01,159.668
2013-10-01,159.554
2013-11-01,159.364
2013-12-01,159.281
2014-01-01,159.368
2014-02-01,159.869
2014-03-01,161.185
2014-04-01,162.964
2014-05-01,164.678
2014-06-01,166.207
2014-07-01,167.13099999999997
2014-08-01,167.446
2014-09-01,167.236
2014-10-01,166.90400000000002
2014-11-01,166.65200000000002
2014-12-01,166.454
2015-01-01,166.24200000000002
2015-02-01,166.623
2015-03-01,168.081
2015-04-01,169.965
2015-05-01,171.84599999999998
2015-06-01,173.446
2015-07-01,174.49099999999999
2015-08-01,174.93
2015-09-01,175.03400000000002
2015-10-01,175.03799999999998
2015-11-01,175.128
2015-12-01,175.1
2016-01-01,175.021
2016-02-01,175.267
2016-03-01,176.59099999999998
2016-04-01,178.488
2016-05-01,180.33700000000002
2016-06-01,181.907
2016-07-01,183.00799999999998
2016-08-01,183.645
2016-09-01,183.933
2016-10-01,184.00599999999997
2016-11-01,184.217
2016-12-01,184.389
2017-01-01,184.642
2017-02-01,185.01
2017-03-01,186.518
2017-04-01,188.53099999999998
2017-05-01,190.52599999999998
2017-06-01,192.252
2017-07-01,193.49599999999998
2017-08-01,194.33
2017-09-01,194.801
2017-10-01,195.06799999999998
2017-11-01,195.435
2017-12-01,195.832
2018-01-01,196.101
2018-02-01,196.891
2018-03-01,198.558
2018-04-01,200.597
2018-05-01,202.43400000000003
2018-06-01,204.02599999999998
2018-07-01,204.935
2018-08-01,205.313
2018-09-01,205.359
2018-10-01,205.354
2018-11-01,205.092
2018-12-01,204.68099999999998
2019-01-01,204.18200000000002
2019-02-01,204.40599999999998
2019-03-01,205.755
2019-04-01,207.672
2019-05-01,209.33700000000002
2019-06-01,210.571
2019-07-01,211.321
2019-08-01,211.68
2019-09-01,211.858
2019-10-01,211.952
2019-11-01,212.09099999999998
2019-12-01,212.22299999999998
2020-01-01,212.385
2020-02-01,213.205
2020-03-01,215.179
2020-04-01,217.22099999999998
2020-05-01,218.467
2020-06-01,219.794
2020-07-01,221.554
2020-08-01,224.03599999999997
2020-09-01,226.787
2020-10-01,229.797
2020-11-01,232.299
2020-12-01,234.34799999999998
2021-01-01,236.42
2021-02-01,239.2
2021-03-01,244.195
2021-04-01,249.801
2021-05-01,255.424
2021-06-01,261.147
2021-07-01,265.482
2021-08-01,268.756
2021-09-01,271.407
2021-10-01,273.61400000000003
2021-11-01,275.981
2021-12-01,278.555
2022-01-01,281.932
2022-02-01,287.152
2022-03-01,294.95
2022-04-01,301.573
2022-05-01,306.33799999999997
2022-06-01,308.13599999999997
2022-07-01,306.978
2022-08-01,303.561
2022-09-01,300.39599999999996
2022-10-01,298.61
2022-11-01,296.79400000000004
2022-12-01,294.286
2023-01-01,292.777
2023-02-01,293.57
2023-03-01,297.5
2023-04-01,301.63
2023-05-01,305.504
2023-06-01,308.461
2023-07-01,310.382
2023-08-01,311.748
2023-09-01,312.60200000000003
2023-10-01,312.964
2023-11-01,312.20799999999997
2023-12-01,311.02
2024-01-01,310.884
2024-02-01,312.805
2024-03-01,316.985
2024-04-01,320.902
2024-05-01,323.828
2024-06-01,325.377
2024-07-01,325.688
2024-08-01,325.135
2024-09-01,324.76
2024-10-01,324.087
2024-11-01,323.785
2024-12-01,323.361
2025-01-01,323.748
2025-02-01,325.218
2025-03-01,327.67900000000003
